No.,Date,Name,Language,Year,Good?,N'th time of watching,Location,Director,Runtime,Genre,TMDb_Rating,Release_Year,Overview,API_Status,Var
11,22/01/21,The Hobbit: The Desolation of Smaug,English,2013,,,Home,Peter Jackson,161 min,"Fantasy, Adventure, Action",7.6,2013,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Found,
10,21/01/21,The Hobbit: An Unexpected Journey,English,2012,,,Home,Peter Jackson,169 min,"Adventure, Fantasy, Action",7.4,2012,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",Found,
9,21/01/21,National Bird,English,2016,,,Home,Sonia Kennebeck,92 min,Documentary,6.8,2016,"Sonia Kennebeck takes on the controversial tactic of drone warfare, and demands accountability through the personal accounts—recollections, traumas, and responses—of three American military veterans whose lives have been shaken by the roles they played in this controversial method of attack.",Found,
8,20/01/21,Kadhalum Kadandhu Pogum,Tamil,2016,Good,,Home,Nalan Kumarasamy,136 min,"Comedy, Drama, Romance",7.2,2016,"A small-time rowdy fresh out of prison and a runaway woman seeking a new life in Chennai become unexpected neighbors. Bound by loneliness, they form an unusual bond—one that teeters between friendship and love. As they navigate their struggles together, their lives take a heartwarming turn in this charming romantic comedy-drama.",Found,
7,18/01/21,The Peanut Butter Falcon,English,2019,,,Home,"Tyler Nilson, Michael Schwartz",97 min,"Adventure, Comedy, Drama",7.406,2019,A down-on-his-luck crab fisherman embarks on a journey to get a young man with Down syndrome to a professional wrestling school in rural North Carolina and away from the retirement home where he’s lived for the past two and a half years.,Found,
6,17/01/21,Aandavan Kattalai,Tamil,2016,Good,,Home,M. Manikandan,151 min,"Action, Drama, Romance",8.0,2016,"A young man, on the advice of an agent, lies that he is married, to go to London. But his visa application is rejected and now, he has to follow-up with a string of lies to hide one lie.",Found,
5,15/01/21,Aayirathil Oruvan,Tamil,2010,,,Home,Selvaraghavan,181 min,"Action, Adventure",6.6,2010,"An expedition sets out to uncover the long-lost traces of the Chola dynasty, venturing into uncharted lands filled with ancient traps, hostile forces, and forgotten secrets. What begins as a search for history soon becomes a perilous struggle for survival, where myths and reality collide and the fate of an entire legacy hangs in the balance.",Found,
4,11/01/21,Jallikattu,Malayalam,2019,,,Home,Lijo Jose Pellissery,95 min,"Action, Thriller, Crime",6.7,2019,An escaped buffalo triggers a frenzy of ecstatic violence in a remote village.,Found,
3,11/01/21,Zindagi Na Milegi Dobara,Hindi,2011,Good,,Home,Zoya Akhtar,154 min,"Drama, Comedy, Romance",7.581,2011,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?",Found,
2,03/01/21,Heat,English,1995,Good,,Home,Michael Mann,170 min,"Crime, Drama, Action",7.928,1995,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,Found,0
1,01/01/21,10 Things I Hate About You,English,1999,Good,,Home,Gil Junger,97 min,"Comedy, Romance, Drama",7.592,1999,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",Found,
143,31/12/20,Ask Me Anything,English,2014,,,Home,Allison Burnett,100 min,Drama,5.6,2014,"Beautiful, wild, funny, and lost, Katie Kampenfelt takes a year off before college to find herself, all the while chronicling her adventures in an anonymous blog into which she pours her innermost secrets. Eventually, Katie's fearless narrative begins to crack, and dark pieces of her past emerge.",Found,
142,30/12/20,The Hurt Locker,English,2009,Good,,Home,Kathryn Bigelow,131 min,"Drama, Thriller, War",7.3,2008,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",Found,
141,29/12/20,The Founder,English,2016,Good,,Home,John Lee Hancock,115 min,"Drama, History",7.137,2016,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",Found,0
140,29/12/20,Soul,English,2020,,,Home,Pete Docter,101 min,"Animation, Family, Comedy, Fantasy, Drama, Music",8.097,2020,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Found,0
139,28/12/20,Saving Private Ryan,English,1998,,,Home,Steven Spielberg,169 min,"Drama, History, War",8.22,1998,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",Found,
138,28/12/20,AK vs AK,Hindi,2020,,,Home,Vikramaditya Motwane,108 min,"Comedy, Action, Drama, Crime",6.681,2020,"After a public spat with a movie star,  a disgraced director retaliates by kidnapping the actor's daughter, filming the search for her in real-time.",Found,0
137,27/12/20,Troop Zero,English,2020,,,Home,"Bertie, Bert",94 min,"Comedy, Drama, Family",6.9,2019,"In rural 1977 Georgia, a misfit girl dreams of life in outer space. When a national competition offers her a chance at her dream, to be recorded on NASA’s Golden Record, she recruits a makeshift troupe of Birdie Scouts, forging friendships that last a lifetime and beyond.",Found,
136,26/12/20,The Green Mile,English,1999,,,Home,Frank Darabont,189 min,"Fantasy, Drama, Crime",8.503,1999,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Found,
135,25/12/20,The Spectacular Now,English,2013,Good,,Home,James Ponsoldt,95 min,"Comedy, Drama, Romance",6.7,2013,"Sutter, a popular party animal, unexpectedly meets the introverted Aimee after waking up on a stranger's lawn. As Sutter deals with the problems in his life and Aimee plans for her future beyond school, an unexpected romance blossoms between them.",Found,
134,21/12/20,Stuck in Love,English,2012,,,Home,Josh Boone,97 min,"Drama, Comedy, Romance",7.373,2013,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",Found,
133,21/12/20,The Kissing Booth 2,English,2020,,,Home,Vince Marcello,132 min,"Comedy, Romance",7.6,2020,"With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate.",Found,
132,20/12/20,The Croods: A New Age,English,2020,,,Home,Joel Crawford,95 min,"Animation, Family, Adventure, Fantasy, Comedy",7.46,2020,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",Found,
131,17/12/20,Drive,English,2011,,,Home,Nicolas Winding Refn,100 min,"Drama, Thriller, Crime",7.582,2011,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",Found,0
130,16/12/20,Ludo,Hindi,2020,,,Home,Shieladitya Moulik,10 min,Drama,6.3,2019,"Two girls accidentally find out that in addition to the man they unknowingly share, they also share a lot of gifts from him. Including a game of ludo which resembles their lives in some manner.",Found,
129,14/12/20,"Love, Rosie",English,2014,Good,,Home,Christian Ditter,102 min,"Romance, Drama, Comedy",7.817,2014,"Since the moment they met at age 5, Rosie and Alex have been best friends, facing the highs and lows of growing up side by side. A fleeting shared moment, one missed opportunity, and the decisions that follow send their lives in completely different directions. As each navigates the complexities of life, love, and everything in between, they always find their way back to each other - but is it just friendship, or something more?",Found,
128,12/12/20,Closer,English,2004,,,Home,Mike Nichols,104 min,"Drama, Romance",6.83,2004,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,Found,0
127,11/12/20,Spirited Away,Japanese,2001,,,Home,Hayao Miyazaki,125 min,"Animation, Family, Fantasy",8.533,2001,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",Found,0
126,06/12/20,Tenet,English,2020,,,Home,Christopher Nolan,150 min,"Action, Thriller, Science Fiction",7.176,2020,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",Found,0
125,28/11/20,The Bourne Supremacy,English,2004,,,Home,Paul Greengrass,108 min,"Action, Drama, Thriller",7.322,2004,"A CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",Found,
124,26/11/20,Andhaghaaram,Tamil,2020,,,Home,V. Vignarajan,171 min,Thriller,7.2,2020,"As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences.",Found,
